Genus,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mND10,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9,mHFD10
A2,0,0,0,0,0,0,0,0,0,0,0.000928936,0,0,0,0.001403181,0,0.000967305,0.015245624,0.00267986,0.001281817
Acetatifactor,0.000258866,0.000766479,0.000231267,0,0,0.001392758,0,0.000393391,0.000452796,0,0.004180214,0.005714286,0.000295072,0.001392758,0.001169317,0.000211506,0.007158058,0.012234143,0.003298289,0.002563633
Aerococcus,0,0.000510986,0,0,0,0.003899721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alistipes,0.009319182,0.01814001,0.027289547,0.051819716,0.014096916,0.02005571,0.013257189,0.020849725,0.009961512,0.005883858,0.008824895,0.014805195,0.011507819,0.01086351,0.005846586,0.008460237,0.008705746,0.01863354,0.002886003,0.007874016
Anaeroplasma,0,0,0.001850139,0,0.004992658,0.001114206,0.000203957,0.000393391,0.002716776,0.00051164,0,0,0,0,0,0,0,0,0,0
Anaerotruncus,0.000517732,0.00332141,0,0.004579417,0.000293686,0.001392758,0.000407914,0.000983478,0.000905592,0,0.010915002,0.006493506,0.00383594,0.005292479,0.006548176,0.009094755,0.006384214,0.002823264,0.002473717,0.000732467
Bacteroides,0.010872379,0.02887072,0.01919519,0.008194746,0.015859031,0.022841226,0.02141546,0.047993706,0.037129273,0.013558455,0.118903855,0.108831169,0.06432576,0.17994429,0.244153414,0.221869712,0.143741536,0.24336533,0.056689342,0.247207471
Bilophila,0.002588662,0.012008176,0,0.024343215,0,0.001949861,0.000407914,0.005310779,0.000452796,0.00025582,0.08058523,0.115584416,0.068751844,0.023119777,0.066884939,0.020939086,0.054169085,0.053830228,0.031127603,0.008423366
Blautia,0.000776598,0.003065917,0.000231267,0.005784526,0,0.003899721,0.000203957,0.001573564,0.000452796,0.00025582,0.058755225,0.010909091,0.119209206,0.000557103,0.449953227,0.242174281,0.202166763,0.023903633,0.156050299,0.107855704
Candidatus_Arthromitus,0.000258866,0,0,0.000241022,0.001468429,0,0.000203957,0,0.000452796,0.00025582,0,0,0,0,0,0,0,0,0,0
Candidatus_Saccharimonas,0.00336526,0.001277466,0.001850139,0.008917812,0.004405286,0.000557103,0.001631654,0.002753737,0.00339597,0.014070095,0,0,0.006196518,0,0,0,0.001354227,0,0,0
Candidatus_Stoquefichus,0,0,0,0,0,0,0,0,0,0,0.002090107,0,0,0,0,0,0,0,0,0
Coriobacteriaceae_UCG-002,0.000258866,0.000255493,0,0,0,0,0.000815827,0,0,0.0012791,0.000232234,0,0,0,0,0,0,0,0,0
Desulfovibrio,0,0.013541134,0.006244218,0.004097373,0.000881057,0.006406685,0.000407914,0.003343824,0.00339597,0.002558199,0.061077566,0.011428571,0.010917675,0.005571031,0.005378859,0.00465313,0.012381505,0.007152268,0.00267986,0.004394799
Erysipelatoclostridium,0,0,0.000462535,0,0.000293686,0,0,0.000196696,0.000226398,0,0.025777984,0.00025974,0,0.009192201,0.001637044,0,0.001354227,0.001882176,0.017109874,0.119575169
