name,log2FC,pvalue,Status
peak21279,-2.28561329,0.000103288,Loss
peak19107,-1.862339832,0.019570446,Loss
peak35804,-1.862106023,0.003330151,Loss
peak54191,-1.840637536,0.001815244,Loss
peak17374,-1.83722343,0.026487927,Loss
peak17276,-1.829154389,0.003095004,Loss
peak47827,-1.810260082,0.039550652,Loss
peak64678,-1.760423861,0.009843959,Loss
peak46653,-1.725088204,0.001500003,Loss
peak20343,-1.719760865,0.002040982,Loss
peak15298,-1.711582938,0.018252718,Loss
peak28121,-1.70199033,0.018988236,Loss
peak65268,-1.682136274,0.008142843,Loss
peak37796,-1.679726192,0.002602498,Loss
peak9611,-1.673234199,0.015372169,Loss
peak61551,-1.671569669,0.016641146,Loss
peak4274,-1.661258826,0.037379381,Loss
peak56618,-1.661008887,0.023179069,Loss
peak27596,-1.643473286,0.020213723,Loss
peak6929,-1.629938145,0.006116974,Loss
peak6243,-1.621404503,0.018358406,Loss
peak22457,-1.615441003,0.015622487,Loss
peak11529,-1.603838346,0.005725424,Loss
peak3514,-1.585994244,0.02282108,Loss
peak59531,-1.582576226,0.01417068,Loss
peak14836,-1.580293695,0.000311469,Loss
peak6249,-1.579139677,0.018123168,Loss
peak73524,-1.578514302,0.027388132,Loss
peak50568,-1.574708209,0.015779549,Loss
peak59548,-1.567532593,0.010648254,Loss
peak57240,-1.566307596,0.009074295,Loss
peak55945,-1.565658217,0.017568737,Loss
peak4668,-1.564695259,0.044012275,Loss
peak51419,-1.561502654,0.026115622,Loss
peak55950,-1.559298545,0.002199039,Loss
peak29843,-1.557216625,0.006803291,Loss
peak33523,-1.557131186,0.002160154,Loss
peak72097,-1.555288328,0.006323972,Loss
peak73834,-1.548152025,0.007559663,Loss
peak24315,-1.544908554,0.012638937,Loss
peak38677,-1.542369195,0.013999612,Loss
peak18039,-1.540593454,0.024224062,Loss
peak17723,-1.536835159,0.001524084,Loss
peak74865,-1.5323376,0.002845872,Loss
peak43655,-1.528634166,0.02269061,Loss
