name,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9
Dioctyl Phthalate,0.000113078,0.00010515,0.000120693,0.000122257,0.000146986,0.000121549,0.00013004,0.000112991,0.000107255,0.000100402,9.53E-05,0.000108519,0.000106354,0.000111372,9.87E-05,0.000127849,0.000124745,0.000115092
L-Proline,9.25E-05,9.69E-05,7.54E-05,0.000143212,0.000256367,9.28E-05,8.52E-05,0.000126133,0.000156229,0.00031907,0.000227793,0.00015785,0.000150084,0.000249731,0.000137819,0.000167489,0.000114097,0.000204656
1-Stearoyl-sn-glycerol 3-phosphocholine,0.042311459,0.047279124,0.045106244,0.034584314,0.040767258,0.041629733,0.033857067,0.036101209,0.043521998,0.036316589,0.039671999,0.04085837,0.046666335,0.033993355,0.044455828,0.03296635,0.04304412,0.038188169
L-Thyroxine,9.65E-05,0.000118275,8.39E-05,9.95E-05,8.49E-05,8.00E-05,5.39E-05,7.30E-05,6.05E-05,6.28E-05,8.70E-05,7.15E-05,9.45E-05,7.26E-05,7.26E-05,5.52E-05,5.87E-05,7.65E-05
Kynurenic acid,2.42E-05,2.60E-05,3.61E-05,4.42E-05,7.29E-05,3.09E-05,2.89E-05,3.46E-05,3.47E-05,7.58E-05,3.90E-05,3.19E-05,2.79E-05,2.46E-05,3.21E-05,2.16E-05,3.17E-05,2.98E-05
DL-2-Aminoadipic acid,2.18E-05,1.92E-05,1.84E-05,2.57E-05,4.77E-05,1.53E-05,1.74E-05,1.28E-05,1.87E-05,5.12E-05,6.32E-05,2.83E-05,1.76E-05,4.35E-05,3.01E-05,2.13E-05,2.42E-05,2.18E-05
Taurocholate,0.000405484,0.00010803,0.000196757,0.000305223,0.001219918,0.000746499,0.000141083,0.000167271,0.000436983,0.00111192,0.000758991,0.001041941,0.000142246,0.003213741,0.000154787,0.002062584,0.000958337,0.000225419
D-Pantothenic acid hemicalcium salt,0.000668599,0.001005317,0.000640397,0.000616224,0.000802831,0.000693029,0.000779551,0.000552134,0.000589143,0.000692475,0.000794911,0.00059288,0.000638833,0.000831176,0.000732692,0.000642094,0.000667833,0.000935054
Corticosterone,0.000764416,0.00054767,0.000854925,6.14E-05,6.69E-05,0.001124835,0.001153411,0.0006296,0.000247968,5.62E-05,0.000487882,0.000800342,0.000607007,0.000975114,0.000692688,0.000914115,0.001149485,0.000800931
L-Lysine monohydrochloride,0.000118286,0.00012218,0.000107261,0.000138611,0.000191176,0.000104755,8.72E-05,0.000126176,0.000129278,0.000195704,0.000255946,0.000104777,0.000109728,0.000148748,0.000129815,0.000138125,0.000115746,0.000165912
Cholic acid,0.001313588,0.001417314,0.000462224,0.000625876,0.000557227,0.000703328,4.02E-05,0.000204226,0.000266463,0.000217006,0.000345935,9.78E-05,0.000559637,0.000159506,0.000573293,0.000728502,4.64E-05,1.64E-05
Citric acid,6.91E-05,6.32E-05,8.11E-05,7.91E-05,7.56E-05,7.86E-05,8.27E-05,7.62E-05,7.69E-05,7.40E-05,6.78E-05,7.26E-05,8.49E-05,7.65E-05,6.99E-05,9.13E-05,9.00E-05,8.27E-05
Vidarabine,1.26E-05,7.42E-06,8.29E-06,1.27E-05,1.76E-05,1.74E-05,2.33E-05,1.00E-05,1.99E-05,0.001337102,5.31E-06,8.67E-05,0.000159683,1.01E-05,6.18E-06,0.000554872,0.00023736,1.57E-05
