name,Fold_change,log2FC,Pvalue,VIP,regulated
Aminochrome o-semiquinone,0.499710212,-1.000836395,0.009786929,1.19712543,down
"LysoPE(0:0/24:6(6Z,9Z,12Z,15Z,18Z,21Z))",0.499162102,-1.002419691,0.000105306,1.566829204,down
Lysyl-Proline,0.49805235,-1.005630705,0.00999564,1.175974422,down
Naloxone,0.497761024,-1.006474826,0.000833703,1.456234429,down
Methylsyringin,0.497145978,-1.00825856,8.49E-09,1.824574816,down
16-Oxoestrone,0.496380669,-1.010481162,0.005141084,1.218074774,down
Serinyl-Tyrosine,0.49396792,-1.017510744,4.38E-09,1.831648517,down
"LysoPC(20:4(5Z,8Z,11Z,14Z))",0.493938305,-1.017597242,0.000137137,1.509847463,down
Bn-NCC-2,0.493147615,-1.019908539,0.00524444,1.280519982,down
Kaempferol 3-[glucosyl-(1->3)-rhamnosyl-(1->6)-galactoside],0.492953071,-1.020477786,0.010542869,1.158701122,down
Isradipine,0.491357412,-1.025155277,0.014065569,1.07049149,down
"PE(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/P-18:0)",0.491293512,-1.025342907,0.008545776,1.185594791,down
Pentane,0.487916779,-1.035292998,0.000135753,1.616577813,down
Pectenotoxin 2,0.48770253,-1.035926639,0.000431142,1.449396936,down
Perlolyrine,0.486809279,-1.038571427,0.002205272,1.327987537,down
Dioscoretine,0.486102488,-1.040667577,0.001253063,1.415733318,down
4-Hydroxy-6-heneicosanone,0.483602974,-1.048104978,0.023680947,1.106518856,down
Anacardic acid,0.483064323,-1.04971279,3.59E-07,1.756846979,down
Nb-Feruloyltryptamine,0.482900369,-1.05020253,0.015707729,1.097536847,down
8-Acetoxy-4'-methoxypinoresinol 4-glucoside,0.481593099,-1.054113377,7.43E-05,1.53417982,down
3-Oxohexadecanoic acid,0.481329983,-1.054901801,0.000214661,1.561584751,down
Celastrol,0.480470261,-1.057480957,1.54E-06,1.771033332,down
Sulfadoxine,0.480241208,-1.058168891,5.89E-10,1.850440519,down
cis-9-Palmitoleic acid,0.479351231,-1.060844958,0.004204158,1.334629204,down
3-Methyl-2-oxindole,0.477649282,-1.065976398,0.005049123,1.327146326,down
(Z)-4-Decen-1-ol,0.477496304,-1.066438528,0.000948314,1.352276742,down
PE(18:0/P-18:1(11Z)),0.477176282,-1.067405758,0.01686391,1.141314954,down
Tetradecanoylcarnitine,0.47688823,-1.06827692,0.001409914,1.410633555,down
Licoricesaponin C2,0.474954086,-1.07414004,0.00100882,1.430716329,down
Aliskiren,0.473983614,-1.077090911,0.004121021,1.271670507,down
Aspartyl-Arginine,0.473769961,-1.077741367,0.000361921,1.497284853,down
Capsicum annuum Fluorescent chlorophyll catabolite,0.472623394,-1.081237053,0.012186476,1.095712095,down
N-Desmethylrosuvastatin,0.472518309,-1.081557863,3.80E-07,1.768655382,down
3'-Hydroxy-HT2 toxin,0.472385133,-1.081964535,0.001350922,1.408270409,down
6-Methoxymellein,0.471723847,-1.08398556,0.005679692,1.233931966,down
2-Butoxyethanol,0.468437882,-1.094070344,7.22E-05,1.657191634,down
xi-5-Acetyltetrahydro-2(3H)-furanone,0.467939642,-1.095605641,0.000496007,1.446529126,down
"3a,7a,12b-Trihydroxy-5b-cholanoic acid",0.467210093,-1.097856653,0.003298926,1.287317546,down
Indole-3-acetic acid sodium salt,0.465864766,-1.102016874,0.004079379,1.350221448,down
Alpha-Tetrasaccharide,0.459996936,-1.120303844,1.83E-08,1.823836052,down
Tocopheronic acid,0.459752031,-1.121072148,0.032772162,1.022451735,down
Casuarine 6-alpha-D-glucoside,0.458369589,-1.125416765,0.001133396,1.381316094,down
cis-3-Hexenyl trans-4-hexenoate,0.458359617,-1.125448151,0.000383318,1.418414293,down
"9-(2-Carboxyphenyl)-3,6-bis(diethylamino)xanthylium(1+)",0.457273995,-1.128869219,0.01898521,1.0234495,down
Clemastine,0.45685404,-1.130194783,0.001264149,1.417168418,down
Sonchuionoside C,0.455303793,-1.135098617,0.003126251,1.37242246,down
"LysoPE(0:0/18:3(9Z,12Z,15Z))",0.454060354,-1.139044019,7.93E-05,1.539795181,down
1-Octen-3-yl primeveroside,0.453519858,-1.140762373,0.007687277,1.193066827,down
DL-2-Aminooctanoic acid,0.452368731,-1.144428887,1.69E-05,1.688319311,down
1-Methylhistidine,0.450209686,-1.151330999,0.000329778,1.481312282,down
"7,8-Dehydroastaxanthianthin",0.448582033,-1.156556257,0.000737657,1.492226676,down
"DG(14:1(9Z)/18:4(6Z,9Z,12Z,15Z)/0:0)",0.448048723,-1.158272469,0.003926213,1.367368723,down
Lyciumin D,0.446485334,-1.163315308,0.007905995,1.230762153,down
Lysyl-Threonine,0.443010711,-1.174586513,0.021422985,1.04314087,down
Dehydrophytosphingosine,0.441770212,-1.178631951,0.031604615,1.02530414,down
"DG(22:5(4Z,7Z,10Z,13Z,16Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/0:0)",0.4405463,-1.182634444,0.000402391,1.505198041,down
Suspensolide F,0.438501268,-1.189347082,0.02083122,1.022671033,down
Citpressine II,0.438340222,-1.189877028,0.000531785,1.558649232,down
Curlone,0.437234687,-1.193520237,0.006733179,1.200569621,down
Dinorcapsaicin,0.434250863,-1.20339938,0.00030476,1.472256997,down
Avocadene,0.432316278,-1.209840935,0.022686367,1.066553125,down
