x,norm_foldChange,logFC,pvalue,pvalue.adj.FDR,State
Apoc2,76.70431894,6.261235908,1.38E-08,5.66E-08,up
Ctsg,35.47574751,5.148761178,0,0,up
Ms4a3,34.99634551,5.129132372,3.53E-14,2.06E-13,up
Prg2,30.68172757,4.939307813,1.52E-11,7.50E-11,up
Elane,26.12740864,4.707492138,0,0,up
Mpo,23.65049834,4.563798678,0,0,up
Nkg7,20.45448505,4.354345312,2.54E-05,7.96E-05,up
Fos,12.36352509,3.628018238,0,0,up
Fosb,11.77519113,3.557678572,0,0,up
Nod2,11.50564784,3.524270314,0.011747948,0.026925954,up
Hcst,10.35508306,3.37226722,0.000741002,0.001981414,up
Ly6c2,10.19360028,3.349591782,2.58E-12,1.34E-11,up
Gm26825,10.13592786,3.341406256,2.09E-10,9.59E-10,up
5430431A17Rik,10.06744186,3.331625236,0.002734312,0.006862142,up
Napsa,8.820996678,3.140941674,0.007515672,0.017705732,up
Xlr5b,8.789036545,3.135705026,6.94E-07,2.50E-06,up
Gm2564,8.309634551,3.05478503,0.001840091,0.00471817,up
Rpl13a-ps1,7.095149502,2.826833084,0.000136905,0.000396233,up
Hist2h2aa1,6.994910903,2.806305681,0,0,up
Prss34,6.985571903,2.804378233,2.10E-05,6.62E-05,up
Tmem254a,6.574655909,2.716915392,0,0,up
Cst7,6.300711913,2.655514847,0.019811817,0.04378965,up
Gm15446,6.262567812,2.64675432,0,0,up
Igkv8-31,5.992524917,2.583164003,0.010547386,0.024363426,up
Fcnb,5.944584718,2.571576028,0.000812069,0.002160638,up
Gm773,5.75282392,2.524270314,4.80E-10,2.15E-09,up
AC126936.1,5.578495923,2.479876194,0.003339633,0.008290201,up
Nutf2-ps1,5.497142857,2.458681972,0.000549104,0.001487996,up
AC163633.1,5.301622044,2.406433823,0.000179083,0.000512607,up
Sult1c1,5.022306597,2.328350104,0.000128678,0.000373407,up
Raver1,5.011929931,2.325366245,2.73E-11,1.33E-10,up
Fbxw18,4.985780731,2.317819436,0.021498924,0.047249385,up
Cd53,4.794019934,2.261235908,0.021850564,0.047984886,up
Ptprcap,4.794019934,2.261235908,0.001945619,0.004968787,up
Dmrtc2,4.696182792,2.231488564,4.46E-09,1.88E-08,up
Cntfr,4.64262983,2.214942255,0.000587974,0.00158789,up
Gc,4.535295048,2.18119641,2.53E-12,1.32E-11,up
Rhox2a,4.29544186,2.102806545,9.64E-09,3.98E-08,up
Gal3st3,4.286417823,2.099772485,0.004154731,0.010171892,up
Gm16677,4.130232558,2.046223017,9.13E-05,0.000269973,up
Cdkn2a,4.051105586,2.018315687,0,0,up
Junb,4.039363207,2.014127875,0,0,up
Egr1,3.859077585,1.948256049,0,0,up
Lrmda,3.835215947,1.939307813,7.43E-10,3.29E-09,up
Gm33301,3.766729948,1.913312604,0.000965072,0.002548193,up
