X,norm_foldChange,LOGFC,pvalue,pvalue.adj.FDR,STATE
Elane,107.4929207,6.748097839,0,0,UP
Sprr2f,28.07139968,4.811029095,4.30E-05,0.000100343,UP
Smtnl1,22.5940534,4.49787121,0.00031571,0.000690835,UP
Fos,19.98590231,4.320910803,0,0,UP
Ugt8a,18.48604369,4.208364593,0.000956959,0.00201772,UP
Cxcl2,16.77437298,4.068186935,0.005569578,0.010894702,UP
Ms4a3,16.08970469,4.008065942,7.64E-07,2.01E-06,UP
Egr2,13.32820928,3.736411054,6.38E-14,2.35E-13,UP
Fcnb,12.32402913,3.623402092,1.78E-05,4.27E-05,UP
Hpn,10.95469256,3.453477091,0.0001442,0.000324437,UP
Pklr,10.61235841,3.407673401,0.000614844,0.001316581,UP
Ly6c2,10.27002427,3.360367686,3.63E-13,1.29E-12,UP
Rpl13a-ps1,9.194116967,3.20071102,2.46E-10,7.72E-10,UP
Junb,8.649614101,3.112635769,0,0,UP
Car3,7.344623419,2.876688521,0.004044894,0.008030537,UP
Gm10800,7.150979863,2.838140941,0.00013882,0.000312582,UP
Fosb,7.057108422,2.819077175,0,0,UP
Lrmda,6.724420654,2.749409977,0,0,UP
Gsta2,6.66807373,2.737270057,2.12E-07,5.75E-07,UP
Gfi1b,6.664104639,2.736411054,3.10E-06,7.85E-06,UP
Tmem254a,6.628382815,2.728656926,0,0,UP
Slc14a1,6.390237325,2.675869512,0.015771035,0.029336081,UP
Mrgprf,6.259824318,2.646122169,0.003901958,0.007760773,UP
Asb17os,6.085940309,2.605480184,0.000951947,0.002007793,UP
Gm28048,5.933791802,2.568954308,0.001719359,0.003539973,UP
Akr1c18,5.756802721,2.525267774,2.42E-13,8.70E-13,UP
Rdh9,5.629494786,2.493005455,0.002092107,0.004270099,UP
Pgam2,5.173049263,2.37101493,0.009683628,0.018476485,UP
Sprr1a,5.157834412,2.366765457,0.003190459,0.006392549,UP
Slc7a9,5.086107258,2.346561887,0.022952223,0.041686883,UP
Aldh1l1,4.840130251,2.275045872,0,0,UP
Gm47167,4.51881068,2.175943115,0.01028859,0.019581669,UP
Cyr61,4.410460262,2.140929219,0,0,UP
Gm49322,4.306464284,2.106503866,0,0,UP
Ier2,4.16968048,2.059936835,0,0,UP
Nanp,3.866362079,1.95097675,1.84E-05,4.41E-05,UP
Gm29417,3.792008962,1.922962374,0.026571,0.047811854,UP
Gm26825,3.740626727,1.903280008,1.86E-06,4.78E-06,UP
B230209E15Rik,3.697208738,1.886436498,4.47E-07,1.19E-06,UP
Nutf2-ps1,3.485583995,1.801400394,0.000249131,0.000549956,UP
