"seqnames"	"start"	"end"	"width"	"strand"	"peakName"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"geneId"	"transcriptId"	"distanceToTSS"
"chr1"	4664535	4664698	164	"*"	"peak27"	"Distal Intergenic"	1	4561151	4567577	6427	2	"Sox17"	"NM_011441"	-96958
"chr1"	4855732	4856116	385	"*"	"peak31"	"Promoter (<=1kb)"	1	4843421	4855949	12529	2	"Mrpl15"	"NM_001177658"	0
"chr1"	4877808	4878151	344	"*"	"peak32"	"Promoter (<=1kb)"	1	4878046	4916958	38913	1	"Lypla1"	"NM_001355712"	0
"chr1"	6284511	6285527	1017	"*"	"peak47"	"Promoter (<=1kb)"	1	6284886	6346328	61443	1	"Rb1cc1"	"NM_009826"	0
"chr1"	7158607	7159473	867	"*"	"peak54"	"Promoter (<=1kb)"	1	7159144	7243852	84709	1	"Pcmtd1"	"NM_183028"	0
"chr1"	7467843	7468659	817	"*"	"peak62"	"Distal Intergenic"	1	7159144	7243852	84709	1	"Pcmtd1"	"NM_183028"	308699
"chr1"	9539838	9540328	491	"*"	"peak71"	"Distal Intergenic"	1	9615633	9617680	2048	1	"Rrs1"	"NM_021511"	-75305
"chr1"	10109857	10110041	185	"*"	"peak88"	"Intron (NM_026493/Cspp1, intron 1 of 29)"	1	10108443	10206993	98551	1	"Cspp1"	"NM_026493"	1414
"chr1"	24138926	24139858	933	"*"	"peak329"	"Promoter (<=1kb)"	1	24049839	24139422	89584	2	"Fam135a"	"NM_026604"	0
"chr1"	30988761	30989304	544	"*"	"peak357"	"Promoter (<=1kb)"	1	30988952	30990416	1465	1	"LOC115487084"	"NR_164183"	0
"chr1"	36283344	36283554	211	"*"	"peak511"	"Promoter (<=1kb)"	1	36179109	36283383	104275	2	"Uggt1"	"NM_198899"	0
"chr1"	36942645	36942803	159	"*"	"peak544"	"Intron (NM_018872/Tmem131, intron 1 of 40)"	1	36831270	36978608	147339	2	"Tmem131"	"NM_018872"	35805
"chr1"	36978553	36979181	629	"*"	"peak546"	"Promoter (<=1kb)"	1	36831270	36978608	147339	2	"Tmem131"	"NM_018872"	0
"chr1"	37725141	37725350	210	"*"	"peak608"	"Intron (NM_028096/Cracdl, intron 1 of 9)"	1	37650757	37758892	108136	2	"Cracdl"	"NM_028096"	33542
"chr1"	37903754	37904633	880	"*"	"peak613"	"Promoter (<=1kb)"	1	37793653	37904163	110511	2	"Tsga10"	"NM_207228"	0
"chr1"	37929397	37929646	250	"*"	"peak615"	"Promoter (<=1kb)"	1	37913882	37929492	15611	2	"Mitd1"	"NM_001356262"	0
"chr1"	38984567	38984775	209	"*"	"peak666"	"Intron (NM_001011684/Nms, intron 5 of 9)"	1	38978230	38989357	11128	1	"Nms"	"NM_001311788"	6337
"chr1"	39406757	39407021	265	"*"	"peak684"	"Promoter (<=1kb)"	1	39406932	39410991	4060	1	"Rpl31"	"NM_001252218"	0
"chr1"	39517810	39518010	201	"*"	"peak689"	"Promoter (<=1kb)"	1	39410576	39517828	107253	2	"Tbc1d8"	"NM_018775"	0
"chr1"	39527045	39527212	168	"*"	"peak690"	"Distal Intergenic"	1	39412394	39517836	105443	2	"Tbc1d8"	"NM_001357522"	-9209
"chr1"	42890175	42890719	545	"*"	"peak825"	"Promoter (<=1kb)"	1	42890393	42944843	54451	1	"Mrps9"	"NM_023514"	0
"chr1"	43137562	43137967	406	"*"	"peak834"	"Promoter (<=1kb)"	1	43137870	43155106	17237	1	"AI597479"	"NM_133818"	0
"chr1"	45834138	45834768	631	"*"	"peak899"	"Promoter (<=1kb)"	1	45834326	45862798	28473	1	"Wdr75"	"NM_028599"	0
"chr1"	51517212	51517846	635	"*"	"peak925"	"Promoter (<=1kb)"	1	51508647	51517558	8912	2	"Nabp1"	"NM_001310548"	0
"chr1"	52152815	52153205	391	"*"	"peak944"	"Distal Intergenic"	1	52158597	52201024	42428	1	"Stat1"	"NM_001205314"	-5392
"chr1"	52272107	52272832	726	"*"	"peak946"	"Promoter (<=1kb)"	1	52202609	52272391	69783	2	"Gls"	"NM_001081081"	0
"chr1"	52883713	52884393	681	"*"	"peak969"	"Promoter (<=1kb)"	1	52884197	52960145	75949	1	"Hibch"	"NM_146108"	0
"chr1"	54289660	54290050	391	"*"	"peak985"	"Promoter (<=1kb)"	1	54289842	54407886	118045	1	"Ccdc150"	"NM_030025"	0
"chr1"	55091717	55092079	363	"*"	"peak1014"	"Promoter (<=1kb)"	1	55091929	55111861	19933	1	"Coq10b"	"NM_001039710"	0
"chr1"	55276143	55276474	332	"*"	"peak1027"	"Promoter (<=1kb)"	1	55276336	55279217	2882	1	"Mars2"	"NM_175439"	0
"chr1"	55444841	55445118	278	"*"	"peak1028"	"Promoter (<=1kb)"	1	55445105	55793444	348340	1	"Plcl1"	"NM_001114663"	0
"chr1"	57416580	57417069	490	"*"	"peak1057"	"Promoter (<=1kb)"	1	57416779	57424581	7803	1	"1700066M21Rik"	"NM_028546"	0
"chr1"	58463123	58463381	259	"*"	"peak1111"	"Promoter (<=1kb)"	1	58451147	58463247	12101	2	"Clk1"	"NM_001042634"	0
"chr1"	58898907	58899390	484	"*"	"peak1131"	"Distal Intergenic"	1	58841661	58886662	45002	1	"Casp8"	"NM_001277926"	57246
"chr1"	60136808	60137740	933	"*"	"peak1196"	"Promoter (<=1kb)"	1	60137406	60193112	55707	1	"Carf"	"NM_001285463"	0
"chr1"	60219345	60219787	443	"*"	"peak1197"	"Promoter (<=1kb)"	1	60219758	60373864	154107	1	"Nbeal1"	"NM_173444"	0
"chr1"	60382246	60382837	592	"*"	"peak1198"	"Promoter (<=1kb)"	1	60382459	60427219	44761	1	"Cyp20a1"	"NM_001313721"	0
"chr1"	60605761	60606041	281	"*"	"peak1205"	"Promoter (<=1kb)"	1	60522344	60605924	83581	2	"Raph1"	"NM_001045513"	0
"chr1"	64776376	64776525	150	"*"	"peak1315"	"5' UTR"	1	64769717	64776909	7193	2	"Fzd5"	"NM_001042659"	384
"chr1"	66739802	66740122	321	"*"	"peak1351"	"Promoter (<=1kb)"	1	66739990	66758964	18975	1	"Rpe"	"NM_001310642"	0
"chr1"	66856734	66857139	406	"*"	"peak1354"	"Promoter (<=1kb)"	1	66758402	66856754	98353	2	"Kansl1l"	"NM_001122738"	0
"chr1"	71692381	71692747	367	"*"	"peak1393"	"Promoter (<=1kb)"	1	71692494	71702002	9509	1	"Apol7d"	"NR_040308"	0
"chr1"	72272050	72272347	298	"*"	"peak1413"	"Distal Intergenic"	1	72283152	72314028	30877	1	"D230017M19Rik"	"NR_155355"	-10805
"chr1"	72622204	72622877	674	"*"	"peak1435"	"Promoter (<=1kb)"	1	72622410	72675949	53540	1	"Smarcal1"	"NM_018817"	0
"chr1"	74544701	74545303	603	"*"	"peak1522"	"Promoter (<=1kb)"	1	74545219	74570001	24783	1	"Cnot9"	"NM_021383"	0
"chr1"	74700683	74700983	301	"*"	"peak1534"	"Promoter (<=1kb)"	1	74700861	74740991	40131	1	"Ttll4"	"NM_001014974"	0
"chr1"	74999085	74999234	150	"*"	"peak1553"	"Distal Intergenic"	1	74986882	74990831	3950	2	"Ihh"	"NM_001313683"	-8254
"chr1"	75101295	75101939	645	"*"	"peak1556"	"Promoter (<=1kb)"	1	75006505	75101870	95366	2	"Nhej1"	"NM_029342"	0
"chr1"	75293880	75294718	839	"*"	"peak1567"	"Promoter (<=1kb)"	1	75285209	75294281	9073	2	"Dnpep"	"NM_001110831"	0
"chr1"	78465329	78465605	277	"*"	"peak1643"	"Promoter (<=1kb)"	1	78394595	78465534	70940	2	"Farsb"	"NM_001278075"	0
"chr1"	80318487	80318943	457	"*"	"peak1693"	"Promoter (<=1kb)"	1	80242640	80318407	75768	2	"Cul3"	"NM_016716"	-80
"chr1"	82702509	82702949	441	"*"	"peak1731"	"Promoter (<=1kb)"	1	82702611	82730110	27500	1	"Mff"	"NM_001310695"	0
"chr1"	84273177	84273407	231	"*"	"peak1765"	"Distal Intergenic"	1	84014014	84262366	248353	2	"Pid1"	"NM_001003948"	-10811
"chr1"	85906787	85907015	229	"*"	"peak1817"	"Distal Intergenic"	1	85867259	85888777	21519	2	"Gpr55"	"NM_001033290"	-18010
"chr1"	86286487	86287643	1157	"*"	"peak1845"	"Promoter (<=1kb)"	1	86287306	86296229	8924	1	"C130036L24Rik"	"NR_015507"	0
"chr1"	86362153	86362404	252	"*"	"peak1851"	"Distal Intergenic"	1	86354051	86355771	1721	1	"Tex44"	"NM_027966"	8102
"chr1"	87254437	87254859	423	"*"	"peak1898"	"Promoter (<=1kb)"	1	87254720	87378532	123813	1	"Gigyf2"	"NM_001110212"	0
"chr1"	92271013	92271192	180	"*"	"peak2247"	"Distal Intergenic"	1	92392205	92392264	60	2	"Mir6900"	"NR_105865"	121072
"chr1"	92401437	92401692	256	"*"	"peak2259"	"Promoter (<=1kb)"	1	92367441	92401480	34040	2	"Ndufa10"	"NM_024197"	0
"chr1"	93729436	93729788	353	"*"	"peak2331"	"Promoter (<=1kb)"	1	93720298	93729656	9359	2	"Dtymk"	"NM_001105667"	0
"chr1"	95241169	95241518	350	"*"	"peak2355"	"Promoter (<=1kb)"	1	95241353	95263009	21657	1	"Fam174a"	"NM_026321"	0
